knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,SumVillrein,Villsommer,Villaar,Maleperw,Femaleperw,Chperw,Beitedager,Maleandelw,Femaleandw,Chandelw,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,sumvillrein,TOTBAR
219,Bærum,1949,169,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
220,Asker,1949,84.84,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
221,Aurskog-Høland,1949,796.95,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
226,Sørum,1949,124.53,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
227,Fet,1949,110.56,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
228,Rælingen,1949,50.62,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
229,Enebakk,1949,165.73,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
230,Lørenskog,1949,60.83,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
231,Skedsmo,1949,50.68,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
233,Nittedal,1949,165.15,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
234,Gjerdrum,1949,55.95,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
235,Ullensaker,1949,161.13,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
236,Nes,1949,470.97,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
237,Eidsvoll,1949,334.9,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
238,Nannestad,1949,273.7,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
239,Hurdal,1949,253.44,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
301,Oslo kommune,1949,390.37,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
402,Kongsvinger,1949,910.53,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
403,Hamar,1949,289.58,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
412,Ringsaker,1949,941.89,0,15.4707721,15.4707721,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,15.47,19.33846513,16.76000311,25,50,25,365,4.190000777,8.380001555,4.190000777,132.4994585,187.3913376,72.79867735,48362.30237,68397.83824,26571.51723,143331.6578,152.1745192
415,Løten,1949,314.76,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
417,Stange,1949,539.87,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
418,Nord-Odal,1949,447.68,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
419,Sør-Odal,1949,413.61,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
420,Eidskog,1949,567.33,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
423,Grue,1949,711.45,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
425,Åsnes,1949,905.84,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
426,Våler,1949,630.32,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
427,Elverum,1949,1162.4,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
428,Trysil,1949,2925.19,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
429,Åmot,1949,1277.2,0,20.97832032,20.97832032,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,20.98,26.2229004,22.72651368,25,50,25,365,5.68162842,11.36325684,5.68162842,179.6688663,254.1020888,98.71478699,65579.13619,92747.26242,36030.89725,194357.2959,152.1745192
430,Stor-Elvdal,1949,2109.51,0,78.13494107,78.13494107,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,78.13,97.66867634,84.64618616,25,50,25,365,21.16154654,42.32309308,21.16154654,669.1868588,946.4176078,367.6688098,244253.2035,345442.4269,134199.1156,723894.7459,343.1577693
432,Rendalen,1949,3042.83,1000,62.72531251,1062.725313,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,62.73,78.40664064,67.95242189,25,50,25,365,16.98810547,33.97621094,16.98810547,537.2110642,759.7668777,295.1578472,196082.0384,277314.9104,107732.6142,581129.563,190.9832501
434,Engerdal,1949,1906.91,2414.604346,0,2414.604346,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
436,Tolga,1949,1066.95,0,14.03058205,14.03058205,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,14.03,17.53822757,15.19979722,25,50,25,365,3.799949306,7.599898612,3.799949306,120.164948,169.9468858,66.02177379,43860.20602,62030.6133,24097.94743,129988.7668,121.8321072
437,Tynset,1949,1764.56,0,263.5603929,263.5603929,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,263.56,329.4504911,285.523759,25,50,25,365,71.38093975,142.7618795,71.38093975,2257.263511,3192.402697,1240.19977,823901.1816,1165226.984,452672.9162,2441801.082,1383.801674
