knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,endelig tamsum,Tamsommer,Tamaar,Maleper,Femaleper,Chper,Beitedager,Maleandelt,Femaleandt,Chandelt,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,Sumtam,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,Sumsamisk,Korrsvenskrein,Endelig samisk,TOTBAR,,,,,,
517.00,Sel,1949.00,856.34,0.00,288.28,288.28,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
519.00,Sør-Fron,1949.00,666.75,0.00,0.00,0.00,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
520.00,Ringebu,1949.00,1174.17,0.00,19.29,19.29,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
521.00,Øyer,1949.00,585.42,0.00,9.62,9.62,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
522.00,Gausdal,1949.00,1083.44,0.00,0.00,0.00,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
528.00,Østre Toten,1949.00,373.62,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
529.00,Vestre Toten,1949.00,172.10,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
532.00,Jevnaker,1949.00,179.16,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
533.00,Lunner,1949.00,245.36,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
534.00,Gran,1949.00,582.39,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
536.00,Søndre Land,1949.00,635.76,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
538.00,Nordre Land,1949.00,886.56,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
540.00,Sør-Aurdal,1949.00,1049.82,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
541.00,Etnedal,1949.00,429.58,0.00,0.00,0.00,SENorway,mountain,3.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
542.00,Nord-Aurdal,1949.00,819.44,242.84,0.00,242.84,SENorway,mountain,3.00,242.84,303.5495201,263.0762508,10,65,25,365,26.30762508,170.999563,65.7690627,831.9201508,3823.84617,1142.69687,303650.855,1395703.852,417084.3577,2116439.065,100,63,45,31.6227766,22.36173065,17.37438278,2116439.065,0,2116439.065,2582.787104,,,,,,
543.00,Vestre Slidre,1949.00,390.64,115.77,0.00,115.77,SENorway,mountain,3.00,115.77,144.7068541,125.4126069,10,65,25,365,12.54126069,81.5181945,31.35315173,396.5894852,1822.887909,544.7416595,144755.1621,665354.0866,198830.7057,1008939.954,100,63,45,31.6227766,22.36173065,17.37438278,1008939.954,0,1008939.954,2582.787104,,,,,,
544.00,Øystre Slidre,1949.00,853.96,715.87,0.00,715.87,SENorway,mountain,3.00,715.87,894.8361137,775.5246318,10,65,25,365,77.55246318,504.0910107,193.881158,2452.424218,11272.34741,3368.565452,895134.8396,4114406.803,1229526.39,6239068.033,100,63,45,31.6227766,22.36173065,17.37438278,6239068.033,0,6239068.033,7306.042476,,,,,,
545.00,Vang,1949.00,1293.26,1467.39,0.00,1467.39,SENorway,mountain,3.00,1467.39,1834.233071,1589.668661,10,65,25,365,158.9668661,1033.28463,397.4171653,5026.973695,23106.03258,6904.877953,1834845.399,8433701.892,2520280.453,12788827.74,100,63,45,31.6227766,22.36173065,17.37438278,12788827.74,0,12788827.74,9888.82958,,,,,,
602.00,Drammen,1949.00,119.92,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
604.00,Kongsberg,1949.00,718.35,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
605.00,Ringerike,1949.00,1352.75,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
612.00,Hole,1949.00,111.50,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
615.00,Flå,1949.00,663.79,196.71,0.00,196.71,SENorway,inlandlow,2.00,196.71,245.8912623,213.1057607,10,65,25,365,21.31057607,138.5187444,53.27644017,673.8995862,3097.518853,925.6452646,245973.349,1130594.381,337860.5216,1714428.252,100,63,45,31.6227766,22.36173065,17.37438278,1714428.252,0,1714428.252,2582.787104,,,,,,
616.00,Nes,1949.00,761.30,225.61,0.00,225.61,SENorway,mountain,3.00,225.61,282.0124105,244.4107558,10,65,25,365,24.44107558,158.8669913,61.10268895,772.894673,3552.540868,1061.621507,282106.5556,1296677.417,387491.8499,1966275.823,100,63,45,31.6227766,22.36173065,17.37438278,1966275.823,0,1966275.823,2582.787104,,,,,,
617.00,Gol,1949.00,495.24,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
618.00,Hemsedal,1949.00,695.15,206.01,113.70,319.70,SENorway,mountain,3.00,206.01,257.508114,223.1736988,10,65,25,365,22.31736988,145.0629042,55.7934247,705.737202,3243.857592,969.3763173,257594.0787,1184008.021,353822.3558,1795424.456,100,63,45,31.6227766,22.36173065,17.37438278,1795424.456,0,1795424.456,2582.787104,,,,,,
619.00,Ål,1949.00,1056.21,503.22,172.75,675.96,SENorway,mountain,3.00,503.22,629.0190024,545.1498021,10,65,25,365,54.51498021,354.3473714,136.2874505,1723.915041,7923.820476,2367.910333,629228.9898,2892194.474,864287.2717,4385710.735,100,63,45,31.6227766,22.36173065,17.37438278,4385710.735,0,4385710.735,4152.309423,,,,,,
620.00,Hol,1949.00,1672.39,1817.28,1689.73,3507.01,SENorway,mountain,3.00,1817.28,2271.598635,1968.718817,10,65,25,365,196.8718817,1279.667231,492.1797043,6225.635535,28615.57395,8551.31858,2272356.97,10444684.49,3121231.282,15838272.74,100,63,45,31.6227766,22.36173065,17.37438278,15838272.74,0,15838272.74,9470.442148,,,,,,
621.00,Sigdal,1949.00,779.61,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
622.00,Krødsherad,1949.00,332.05,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
623.00,Modum,1949.00,409.50,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
624.00,Øvre Eiker,1949.00,369.09,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
